Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-3-13;9:53:17;57,89;-6,44;61,0;49,0;3,927;3,785;0,143;0,075;
2020-3-13;9:53:17;58,01;-6,38;61,0;49,0;3,960;3,788;0,172;0,080;
2020-3-13;9:53:18;58,01;-6,44;61,0;49,0;3,960;3,788;0,172;0,080;
2020-3-13;9:53:18;58,03;-6,38;61,0;49,0;3,939;3,793;0,145;0,076;
2020-3-13;9:53:19;58,03;-6,44;61,0;49,0;3,939;3,793;0,145;0,076;
2020-3-13;9:53:19;58,06;-6,44;61,0;49,0;3,992;3,803;0,189;0,068;
2020-3-13;9:53:20;57,92;-6,44;61,0;49,0;3,923;3,797;0,126;0,064;
2020-3-13;9:53:20;57,92;-6,44;61,0;49,0;3,923;3,797;0,126;0,064;
2020-3-13;9:53:21;58,06;-6,38;61,0;49,0;3,984;3,788;0,196;0,083;
2020-3-13;9:53:21;58,13;-6,44;61,0;49,0;3,943;3,811;0,132;0,067;
2020-3-13;9:53:22;58,13;-6,38;61,0;49,0;3,943;3,811;0,132;0,064;
2020-3-13;9:53:22;57,85;-6,44;61,0;49,0;3,950;3,763;0,187;0,094;
2020-3-13;9:53:23;57,91;-6,44;61,0;49,0;3,942;3,797;0,145;0,064;
2020-3-13;9:53:23;57,91;-6,44;61,0;49,0;3,942;3,797;0,145;0,064;
2020-3-13;9:53:24;57,96;-6,38;61,0;49,0;3,960;3,804;0,156;0,060;
2020-3-13;9:53:24;57,99;-6,38;61,0;49,0;3,930;3,795;0,135;0,071;
2020-3-13;9:53:25;57,99;-6,44;61,0;49,0;3,930;3,795;0,135;0,071;
2020-3-13;9:53:25;58,02;-6,38;61,0;49,0;3,993;3,805;0,189;0,064;
2020-3-13;9:53:26;58,02;-6,38;61,0;49,0;3,993;3,805;0,189;0,064;
2020-3-13;9:53:26;57,69;-6,44;61,0;49,0;3,928;3,785;0,143;0,061;
2020-3-13;9:53:27;58,03;-6,38;61,0;49,0;3,936;3,820;0,116;0,050;
2020-3-13;9:53:27;57,92;-6,44;61,0;49,0;3,936;3,820;0,116;0,050;
2020-3-13;9:53:28;57,92;-6,38;61,0;49,0;3,919;3,783;0,136;0,078;
2020-3-13;9:53:28;57,92;-6,38;61,0;49,0;3,938;3,820;0,118;0,046;
2020-3-13;9:53:29;57,98;-6,38;61,0;49,0;3,938;3,820;0,118;0,046;
2020-3-13;9:53:29;57,98;-6,44;61,0;49,0;3,938;3,820;0,118;0,046;
2020-3-13;9:53:30;58,03;-6,44;61,0;49,0;3,938;3,773;0,165;0,097;
2020-3-13;9:53:30;58,03;-6,44;61,0;49,0;3,938;3,773;0,165;0,097;
2020-3-13;9:53:31;58,01;-6,44;61,0;49,0;3,929;3,812;0,117;0,056;
2020-3-13;9:53:31;58,05;-6,44;61,0;49,0;3,944;3,807;0,137;0,062;
2020-3-13;9:53:32;58,05;-6,38;61,0;49,0;3,947;3,797;0,150;0,074;
2020-3-13;9:53:32;58,02;-6,44;61,0;49,0;3,941;3,784;0,157;0,084;
2020-3-13;9:53:33;57,99;-6,44;61,0;49,0;3,956;3,791;0,165;0,075;
2020-3-13;9:53:33;57,99;-6,38;61,0;49,0;3,956;3,791;0,165;0,075;
2020-3-13;9:53:34;57,87;-6,44;61,0;49,0;3,920;3,788;0,132;0,070;
2020-3-13;9:53:34;57,94;-6,44;61,0;49,0;3,979;3,781;0,197;0,081;
2020-3-13;9:53:35;57,94;-6,38;61,0;49,0;3,979;3,781;0,197;0,081;
2020-3-13;9:53:35;57,94;-6,38;61,0;49,0;3,922;3,805;0,117;0,062;
2020-3-13;9:53:36;57,99;-6,44;61,0;49,0;3,922;3,805;0,117;0,062;
2020-3-13;9:53:36;57,99;-6,44;61,0;49,0;3,991;3,756;0,235;0,110;
2020-3-13;9:53:37;58,06;-6,44;61,0;49,0;3,930;3,834;0,096;0,037;
2020-3-13;9:53:37;58,06;-6,44;61,0;49,0;3,930;3,834;0,096;0,037;
2020-3-13;9:53:38;57,89;-6,38;61,0;49,0;3,950;3,755;0,195;0,105;
2020-3-13;9:53:38;58,00;-6,44;61,0;49,0;3,913;3,817;0,095;0,049;
2020-3-13;9:53:39;58,00;-6,44;61,0;49,0;3,913;3,817;0,095;0,049;
2020-3-13;9:53:39;58,00;-6,44;61,0;49,0;3,913;3,817;0,095;0,049;
2020-3-13;9:53:40;58,01;-6,44;61,0;49,0;3,933;3,796;0,137;0,072;
2020-3-13;9:53:40;58,01;-6,44;61,0;49,0;3,933;3,796;0,137;0,072;
2020-3-13;9:53:41;57,95;-6,44;61,0;49,0;3,945;3,811;0,135;0,053;
2020-3-13;9:53:41;57,83;-6,44;61,0;49,0;3,954;3,758;0,196;0,098;
2020-3-13;9:53:42;57,83;-6,38;61,0;49,0;3,954;3,758;0,196;0,098;
2020-3-13;9:53:42;57,99;-6,44;61,0;49,0;3,938;3,813;0,125;0,053;
2020-3-13;9:53:43;57,99;-6,44;61,0;49,0;3,921;3,795;0,125;0,066;
2020-3-13;9:53:43;57,94;-6,44;61,0;49,0;3,930;3,795;0,135;0,068;
2020-3-13;9:53:44;57,96;-6,44;61,0;49,0;3,934;3,793;0,141;0,071;
2020-3-13;9:53:44;58,21;-6,38;61,0;49,0;3,983;3,807;0,176;0,075;
2020-3-13;9:53:45;58,21;-6,44;61,0;49,0;3,983;3,807;0,176;0,075;
