Tanggal;Waktu;Tegangan;Arus;SOC;Temperature;VCell_Max;VCell_Min;Max_Del_V;Avg_Del_V
2020-4-5;15:46:37;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:37;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:38;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:38;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:39;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:39;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:40;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:40;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:41;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:42;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:43;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:44;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:45;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:46;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:47;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:48;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:49;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:50;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:51;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:52;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:53;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
2020-4-5;15:46:54;0,00;0,00;0,0;0,0;3,980;3,980;0,000;0,000;
